Bot,Simulation,q,Time Step,Result
Bot3,47,0.10,36,Bot got caught in fire along path
Bot4,47,0.10,60,Success
Bot1,48,0.10,2,Success
Bot2,48,0.10,2,Success
Bot3,48,0.10,2,Success
Bot4,48,0.10,2,Success
Bot1,49,0.10,47,Success
Bot2,49,0.10,47,Success
Bot3,49,0.10,47,Success
Bot4,49,0.10,47,Success
Bot1,50,0.10,3,Success
Bot2,50,0.10,3,Success
Bot3,50,0.10,3,Success
Bot4,50,0.10,3,Success
Bot1,51,0.10,22,Success
Bot2,51,0.10,22,Success
Bot3,51,0.10,22,Success
Bot4,51,0.10,22,Success
Bot1,52,0.10,27,Success
Bot2,52,0.10,27,Success
Bot3,52,0.10,27,Success
Bot4,52,0.10,27,Success
Bot1,53,0.10,38,Success
Bot2,53,0.10,38,Success
Bot3,53,0.10,38,Success
Bot4,53,0.10,38,Success
Bot1,54,0.10,15,Success
Bot2,54,0.10,15,Success
Bot3,54,0.10,15,Success
Bot4,54,0.10,15,Success
Bot1,55,0.10,41,Success
Bot2,55,0.10,45,Success
Bot3,55,0.10,41,Success
Bot4,55,0.10,41,Success
Bot1,56,0.10,41,Success
Bot2,56,0.10,3,Bot got caught in fire along path
Bot3,56,0.10,41,Success
Bot4,56,0.10,41,Success
Bot1,57,0.10,33,Success
Bot2,57,0.10,33,Success
Bot3,57,0.10,33,Success
Bot4,57,0.10,33,Success
Bot1,58,0.10,27,Success
Bot2,58,0.10,27,Success
Bot3,58,0.10,27,Success
Bot4,58,0.10,27,Success
Bot1,59,0.10,17,Success
Bot2,59,0.10,17,Success
Bot3,59,0.10,17,Success
Bot4,59,0.10,17,Success
Bot1,60,0.10,31,Success
Bot2,60,0.10,31,Success
Bot3,60,0.10,31,Success
Bot4,60,0.10,31,Success
Bot1,61,0.10,41,Success
Bot2,61,0.10,41,Success
Bot3,61,0.10,41,Success
Bot4,61,0.10,41,Success
Bot1,62,0.10,31,Success
Bot2,62,0.10,33,Success
Bot3,62,0.10,31,Success
Bot4,62,0.10,31,Success
Bot1,63,0.10,28,Success
Bot2,63,0.10,28,Success
Bot3,63,0.10,28,Success
Bot4,63,0.10,28,Success
Bot1,64,0.10,32,Success
Bot2,64,0.10,32,Success
Bot3,64,0.10,32,Success
Bot4,64,0.10,32,Success
Bot1,65,0.10,45,Success
Bot2,65,0.10,45,Success
Bot3,65,0.10,45,Success
Bot4,65,0.10,45,Success
Bot1,66,0.10,46,Success
Bot2,66,0.10,48,Success
Bot3,66,0.10,46,Success
Bot4,66,0.10,46,Success
Bot1,67,0.10,36,Success
Bot2,67,0.10,36,Success
Bot3,67,0.10,36,Success
Bot4,67,0.10,36,Success
Bot1,68,0.10,44,Success
Bot2,68,0.10,28,Bot got caught in fire along path
Bot3,68,0.10,44,Success
Bot4,68,0.10,44,Success
Bot1,69,0.10,54,Success
Bot2,69,0.10,56,Success
Bot3,69,0.10,54,Success
Bot4,69,0.10,54,Success
Bot1,70,0.10,31,Success
Bot2,70,0.10,31,Success
Bot3,70,0.10,31,Success
Bot4,70,0.10,31,Success
Bot1,71,0.10,6,Success
Bot2,71,0.10,6,Success
Bot3,71,0.10,6,Success
Bot4,71,0.10,6,Success
Bot1,72,0.10,17,Success
Bot2,72,0.10,17,Success
Bot3,72,0.10,17,Success
Bot4,72,0.10,17,Success
Bot1,73,0.10,11,Success
Bot2,73,0.10,11,Success
Bot3,73,0.10,11,Success
Bot4,73,0.10,11,Success
Bot1,74,0.10,26,Success
Bot2,74,0.10,26,Success
Bot3,74,0.10,26,Success
Bot4,74,0.10,26,Success
Bot1,75,0.10,18,Success
Bot2,75,0.10,18,Success
Bot3,75,0.10,18,Success
Bot4,75,0.10,18,Success
Bot1,76,0.10,52,Success
Bot2,76,0.10,52,Success
Bot3,76,0.10,52,Success
Bot4,76,0.10,52,Success
Bot1,77,0.10,13,Success
Bot2,77,0.10,13,Success
Bot3,77,0.10,13,Success
Bot4,77,0.10,13,Success
Bot1,78,0.10,48,Success
Bot2,78,0.10,48,Success
Bot3,78,0.10,34,Bot got caught in fire along path
Bot4,78,0.10,48,Success
Bot1,79,0.10,33,Success
Bot2,79,0.10,33,Success
Bot3,79,0.10,33,Success
Bot4,79,0.10,33,Success
Bot1,80,0.10,30,Success
Bot2,80,0.10,30,Success
Bot3,80,0.10,30,Success
Bot4,80,0.10,30,Success
